frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z
1,0.25152448,-1.4796631,0.68534267,0.20905973,-1.513597,0.7046374,0.1966258,-1.5132718,0.7189551,0.18370382,-1.5120257,0.73201543,0.22089154,-1.5133245,0.664928,0.2173144,-1.5125415,0.6509064,0.21097659,-1.5113895,0.63933975,0.12721495,-1.4946864,0.7395746,0.15828122,-1.49656,0.6190738,0.2214074,-1.4403396,0.7015566,0.23300596,-1.4414166,0.6548684,-0.015190011,-1.3200943,0.8297643,0.14307158,-1.3154413,0.49651438,-0.13790846,-1.1556304,1.0090834,0.121822126,-1.0453861,0.45712283,0.026862686,-1.0076208,1.0521959,0.29048598,-1.1049184,0.6026414,0.073611006,-0.9760242,1.0681006,0.3403147,-1.1137357,0.6522205,0.10372588,-0.9924596,1.0391991,0.33954936,-1.1526089,0.6388119,0.08729603,-1.0074266,1.022898,0.32256222,-1.1486974,0.6262488,-0.18140034,-0.827344,0.7507232,-0.03464733,-0.8200595,0.5638648,-0.30124155,-0.5148436,0.616652,0.27168977,-0.55844885,0.66079015,-0.6486442,-0.32350186,0.5679791,0.14861116,-0.27786353,0.7328397,-0.70795673,-0.32517976,0.5685875,0.06487885,-0.23475474,0.74747086,-0.79551524,-0.2010816,0.55211854,0.32839087,-0.21278682,0.74552095
2,0.27233896,-1.4812468,0.68032837,0.2338784,-1.514507,0.7007073,0.22287735,-1.5144336,0.7146937,0.21160817,-1.5137427,0.7284746,0.24381875,-1.5141528,0.6618246,0.23997104,-1.5133832,0.6482669,0.23406444,-1.512242,0.63716453,0.15985265,-1.4963311,0.7398885,0.18953101,-1.4969679,0.618897,0.2511021,-1.4419734,0.69864327,0.26127654,-1.4430708,0.6524937,0.0069117765,-1.3205147,0.83122134,0.1880198,-1.315493,0.50200915,-0.104119845,-1.1528596,1.0028671,0.13857552,-1.0453578,0.45490053,0.06246063,-1.0062256,1.0500505,0.3118735,-1.0794132,0.59388614,0.105389565,-0.9722135,1.0703831,0.35349262,-1.0815696,0.648301,0.12614657,-0.9883229,1.0419633,0.36396897,-1.1236309,0.63813436,0.11233111,-1.0029732,1.0234313,0.34823918,-1.1224357,0.6227302,-0.16703096,-0.8223597,0.7467522,-0.004093788,-0.81809443,0.561139,-0.2736394,-0.5011456,0.61751825,0.29234675,-0.5546621,0.65810525,-0.60078067,-0.31990966,0.56855947,0.16726491,-0.30542433,0.738665,-0.66788656,-0.32815474,0.57193327,0.09211995,-0.26225844,0.7566217,-0.7595263,-0.19843975,0.536824,0.3533992,-0.2332536,0.7558413
3,0.3130378,-1.4806538,0.682918,0.27939892,-1.5144238,0.7025956,0.2698,-1.5143602,0.717177,0.26024544,-1.5136653,0.7315183,0.28673503,-1.5143499,0.6628271,0.28231367,-1.5136801,0.64949876,0.27693573,-1.5126474,0.63853,0.20559236,-1.496394,0.741305,0.23229972,-1.4971985,0.6188104,0.29165453,-1.4420534,0.7008385,0.2995955,-1.4431874,0.6546726,0.09144515,-1.3186048,0.833683,0.2095597,-1.315161,0.5004642,-0.05795566,-1.1492603,0.99831176,0.15940847,-1.0488356,0.45296097,0.08296219,-0.9852006,1.044545,0.3413904,-1.0584124,0.5899864,0.10504655,-0.9316358,1.0661681,0.3775751,-1.0534666,0.64292175,0.12825075,-0.94010836,1.0380334,0.3915206,-1.091584,0.63399756,0.11864864,-0.955102,1.0191855,0.37769094,-1.0932386,0.61719203,-0.040324233,-0.82037324,0.75270116,-0.007951609,-0.8170783,0.5529088,0.29046834,-0.55667853,0.68391734,-0.17812617,-0.4729278,0.5837148,0.24003556,-0.17556761,0.64563274,-0.57124674,-0.46833277,0.6226905,0.17543226,-0.11690121,0.6376292,-0.62782645,-0.48796567,0.639617,0.42756173,-0.08942734,0.6388009,-0.71611255,-0.37170747,0.62031406
4,0.34790486,-1.4801807,0.68562555,0.32288387,-1.5143502,0.70470077,0.31385607,-1.5144284,0.719395,0.30510858,-1.5139582,0.7342605,0.33056402,-1.5144124,0.66563284,0.32638702,-1.5138775,0.6524647,0.32144523,-1.5130228,0.64141405,0.24653214,-1.4968019,0.74234974,0.27414885,-1.4973527,0.61963105,0.32802305,-1.4420725,0.7032111,0.3376521,-1.4431746,0.6574744,0.1324479,-1.3188522,0.8340025,0.2416445,-1.3153398,0.5005402,-0.02945365,-1.1449195,0.98559725,0.17603002,-1.0534507,0.45101997,0.12572642,-0.9812297,1.0351849,0.3534412,-1.0345361,0.5852423,0.15237413,-0.9329976,1.0603377,0.38753405,-1.0147253,0.63741964,0.17704904,-0.94536674,1.0296353,0.40132728,-1.0513916,0.63323534,0.17073469,-0.96157956,1.011477,0.38688323,-1.0601094,0.6175473,0.014857159,-0.817994,0.75503325,0.010140921,-0.8170928,0.54994386,0.33358347,-0.55286926,0.6893143,-0.14854327,-0.46522096,0.5660837,0.29800287,-0.15632069,0.6436099,-0.5320854,-0.5014381,0.6184148,0.24418683,-0.10133138,0.63702947,-0.5683723,-0.53411275,0.6420858,0.47480932,-0.07928097,0.6407177,-0.7001577,-0.40500605,0.6241865
5,0.38428587,-1.4793926,0.68449026,0.35980016,-1.5141026,0.70454144,0.35243553,-1.5140142,0.71872693,0.3449528,-1.513587,0.73379326,0.36694226,-1.5144138,0.6650918,0.36348033,-1.5139099,0.6524898,0.35866112,-1.5133544,0.642204,0.28045046,-1.4976197,0.7407163,0.3075059,-1.4979166,0.62088686,0.3625908,-1.4425132,0.70175797,0.37015817,-1.4436835,0.6566369,0.15877263,-1.3197434,0.83338255,0.282645,-1.3158135,0.49986416,0.021125806,-1.1373436,0.9740708,0.20531723,-1.0577589,0.4458557,0.18234363,-0.97684383,1.0291556,0.37153903,-1.0035348,0.5881053,0.20278804,-0.9279683,1.0535637,0.40424708,-0.9777141,0.6385561,0.23853458,-0.94244593,1.0254457,0.420911,-1.012542,0.6352831,0.22984353,-0.95882976,1.0084971,0.40627828,-1.0242975,0.62055975,0.029532509,-0.8186234,0.75470227,0.042913936,-0.8188416,0.54926115,0.3527674,-0.54646724,0.6913396,-0.10785772,-0.4626511,0.5634554,0.33599898,-0.14298405,0.6391591,-0.48024833,-0.5164959,0.6140982,0.28602892,-0.08529461,0.6308836,-0.5136452,-0.551611,0.63617414,0.50608766,-0.07215149,0.6348738,-0.6526312,-0.42568174,0.63031584
6,0.41624737,-1.479219,0.6842031,0.3901985,-1.5143116,0.7040411,0.38321418,-1.5142009,0.7178111,0.37613505,-1.5138733,0.732752,0.3973035,-1.5145981,0.663905,0.3938708,-1.5140593,0.65130466,0.389212,-1.5135263,0.6407543,0.3139195,-1.4982215,0.7403332,0.34343624,-1.4981563,0.6197368,0.39137295,-1.4427371,0.7016548,0.39946094,-1.4439743,0.6555724,0.1949658,-1.3192555,0.83444893,0.31077427,-1.31657,0.49692506,0.055941474,-1.1353252,0.97077495,0.2335509,-1.0617471,0.4413622,0.22997183,-0.9715931,1.0197563,0.39038268,-0.9796954,0.5840805,0.25236928,-0.9161462,1.0403035,0.4193328,-0.94433063,0.6271186,0.27707943,-0.9255497,1.0145389,0.4321735,-0.975518,0.6318606,0.27094692,-0.94374585,0.99827415,0.41982257,-0.9899992,0.6201072,0.07974842,-0.81924146,0.7534393,0.07364282,-0.8203949,0.5446335,0.3782811,-0.53722674,0.6952962,-0.061840158,-0.45994464,0.56211853,0.37200046,-0.13185437,0.6369984,-0.42735395,-0.5283819,0.6008574,0.324255,-0.068822354,0.6256613,-0.45392314,-0.5620321,0.62529576,0.5499583,-0.06434408,0.6292845,-0.60472965,-0.4398499,0.61380905
7,0.45391554,-1.4827931,0.6851753,0.4205492,-1.516663,0.70466393,0.41139174,-1.5164253,0.7177041,0.40160686,-1.5159669,0.7321188,0.43067005,-1.5170089,0.6651683,0.42836127,-1.5165681,0.6525073,0.4246637,-1.5162122,0.6423533,0.3468095,-1.5010251,0.73980457,0.38121447,-1.5022254,0.62136406,0.43369815,-1.4472882,0.70324755,0.44442973,-1.4479172,0.65761656,0.22929497,-1.3197271,0.83299005,0.34339142,-1.3176448,0.49750313,0.09181905,-1.1338983,0.96568745,0.266668,-1.0648571,0.44223157,0.22947815,-0.9570463,1.0079334,0.40824065,-0.9567267,0.577301,0.25340503,-0.89418197,1.0258254,0.433758,-0.9148562,0.6144928,0.2801128,-0.9026698,1.0041656,0.4448695,-0.9453425,0.6274028,0.27473328,-0.9222652,0.98866713,0.43315682,-0.9608154,0.6179072,0.0783345,-0.8207351,0.74230915,0.13911657,-0.8227111,0.5443646,0.037560925,-0.49547392,0.6527805,0.19959025,-0.48458758,0.5973808,0.06268362,-0.23773988,0.60395503,0.1950521,-0.36373097,0.6705518,0.11343912,-0.21672755,0.6064023,0.16129875,-0.3336505,0.66902775,-0.065487,-0.17353487,0.5692104,0.33951128,-0.26685762,0.67846346
8,0.48943752,-1.4825178,0.6843449,0.45676726,-1.5161223,0.704529,0.44766903,-1.5158541,0.71771425,0.43799675,-1.5153174,0.73161936,0.4663966,-1.5166081,0.6648705,0.4636984,-1.5163239,0.65284276,0.45963708,-1.5160524,0.643009,0.38505992,-1.500219,0.7397283,0.41807365,-1.5025702,0.6233271,0.46820962,-1.446495,0.70253295,0.47898096,-1.4476858,0.6569375,0.26629788,-1.3183725,0.833394,0.37415105,-1.317671,0.49499252,0.1477887,-1.1181568,0.9554307,0.29701418,-1.0668489,0.43813902,0.26133063,-0.927263,0.989345,0.41543078,-0.93625534,0.5623884,0.29253542,-0.86515856,1.0091474,0.44040146,-0.8874577,0.5961479,0.30935508,-0.8691417,0.9936302,0.44714093,-0.91044444,0.6174985,0.301078,-0.88902897,0.9768529,0.43382704,-0.9278572,0.61035204,0.12757386,-0.81683356,0.7364713,0.15638828,-0.8229585,0.540061,0.39671838,-0.50108725,0.6967602,0.07983874,-0.47146106,0.5828367,0.41623846,-0.12176849,0.6342242,-0.25462267,-0.5276983,0.58761203,0.38068944,-0.054427363,0.6148432,-0.28108615,-0.5621216,0.60111696,0.4152717,-0.031239431,0.6116787,-0.41562355,-0.45806694,0.5879448
9,0.52580523,-1.4826919,0.6858641,0.49601388,-1.5155319,0.70602524,0.4894647,-1.5152888,0.7195929,0.48273265,-1.5146132,0.7336963,0.50111496,-1.5159702,0.66583514,0.4970849,-1.5158285,0.65364426,0.49145854,-1.515688,0.64369833,0.4256597,-1.499408,0.7413527,0.44918513,-1.5017995,0.6245404,0.50478965,-1.4464599,0.7050945,0.51130223,-1.4479668,0.65867907,0.30593014,-1.3188057,0.8374897,0.40504476,-1.317744,0.49724463,0.17192905,-1.1096224,0.951407,0.31429496,-1.0662055,0.43753272,0.24823187,-0.90441537,0.97962856,0.42027652,-0.9114949,0.5509231,0.275257,-0.8408811,0.99877656,0.44059798,-0.8589024,0.58013946,0.2920654,-0.84055114,0.98362607,0.4495473,-0.8838605,0.6006582,0.2870497,-0.8651609,0.9652215,0.43922484,-0.9039922,0.59834266,0.16230972,-0.8151605,0.746072,0.18768519,-0.8213656,0.54714835,0.26966158,-0.48879397,0.68004847,0.21149716,-0.47878647,0.5974007,0.3129843,-0.1219108,0.62011796,-0.13837363,-0.44933054,0.58700097,0.30005482,-0.067460984,0.6034761,-0.18092698,-0.43675986,0.58294666,0.3989519,-0.04613021,0.6149336,-0.32933262,-0.33334666,0.53315496
10,0.5628994,-1.4820623,0.6841975,0.5340247,-1.5148638,0.70507616,0.52738094,-1.5148634,0.71894693,0.52089113,-1.5142328,0.73245054,0.5389385,-1.5149198,0.6653624,0.53434575,-1.5150344,0.65377206,0.52859586,-1.5150014,0.6433179,0.46029797,-1.4989759,0.74195033,0.48363703,-1.5008852,0.6241536,0.5416653,-1.4461906,0.7055445,0.5473328,-1.4477475,0.65784115,0.35418096,-1.3167909,0.840264,0.43707916,-1.317439,0.49592286,0.2167671,-1.1031888,0.95817196,0.34556657,-1.0666113,0.43763834,0.265239,-0.90426236,0.96804875,0.4401934,-0.8899127,0.5464591,0.27675316,-0.8335604,0.9797682,0.44304782,-0.826395,0.56833357,0.29744107,-0.8371005,0.957427,0.447625,-0.8422972,0.59014046,0.29603624,-0.85746986,0.93953776,0.4421587,-0.8642621,0.589876,0.2377555,-0.81334877,0.75719583,0.2175276,-0.8156152,0.5506141,0.45161974,-0.48931515,0.70326567,0.18440804,-0.4407814,0.58730435,0.4689398,-0.09710649,0.6333486,-0.1616944,-0.45593834,0.5630534,0.43123275,-0.036263388,0.60634947,-0.19188824,-0.4770684,0.5856068,0.6270951,-0.021086184,0.6482258,-0.3366927,-0.3643307,0.51152235
